NAND2_X2	U300	13.300000	4.200000
NAND2_X2	U299	11.210001	4.200000
NAND2_X2	U298	5.890000	4.200000
NAND3_X2	U297	7.220000	15.400000
NOR3_X2	U296	13.870000	14.000000
NAND3_X2	U295	3.800000	2.800000
NAND2_X2	U294	0.000000	5.600000
NAND2_X2	U293	7.030000	7.000000
NAND2_X2	U292	14.630000	2.800000
NOR2_X2	U291	13.300000	11.200000
NAND2_X2	U290	15.009999	8.400000
NOR2_X2	U289	0.950000	2.800000
NAND2_X2	U288	3.800000	11.200000
OAI21_X2	U287	6.840000	9.800000
NAND2_X2	U286	0.000000	8.400000
NAND2_X2	U285	4.180000	9.800000
MUX2_X2	U284	0.380000	7.000000
NAND2_X2	U283	6.460000	7.000000
NAND3_X2	U282	3.990000	15.400000
AND2_X2	U281	9.310000	15.400000
NAND2_X2	U280	14.250000	15.400000
NAND3_X2	U279	10.070001	15.400000
NAND3_X2	U278	13.680000	9.800000
NOR2_X2	U277	15.389998	7.000000
NAND4_X2	U276	3.040000	15.400000
INV_X4	U275	5.130000	5.600000
NOR2_X2	U274	4.370000	11.200000
INV_X4	U273	10.070000	7.000000
INV_X4	U272	0.000000	7.000000
INV_X4	U271	3.040000	12.600000
NOR2_X2	U270	7.410000	11.200000
NAND3_X2	U269	1.710000	7.000000
NAND3_X2	U268	15.200000	2.800000
NOR2_X1	U267	0.000000	9.800000
NOR3_X1	U266	10.830000	12.600000
NAND2_X1	U265	9.310000	9.800000
INV_X4	U264	10.450000	12.600000
NAND2_X2	U263	15.770000	11.200000
NAND2_X2	U262	14.630000	14.000000
NAND2_X1	U261	8.360001	1.400000
AND2_X2	U260	14.249999	5.600000
NAND3_X4	U259	1.900000	8.400000
NAND2_X2	U258	8.550000	7.000000
INV_X4	U257	9.690000	7.000000
NAND2_X2	U256	3.990000	4.200000
NAND2_X2	U255	9.120000	7.000000
NAND2_X1	U254	2.660000	5.600000
NOR3_X2	U253	9.310000	11.200000
MUX2_X1	U252	0.570000	9.800000
MUX2_X1	U251	2.850000	9.800000
NAND2_X2	U250	4.559999	5.600000
NAND2_X2	U249	0.570000	4.200000
NAND2_X2	U248	0.570000	5.600000
NOR2_X4	U247	12.919999	7.000000
NAND3_X2	U246	7.980000	15.400000
INV_X4	U245	0.000000	11.200000
NAND2_X2	U244	11.780001	4.200000
NAND3_X2	U243	10.450001	4.200000
NOR2_X2	U242	13.300000	1.400000
NAND3_X2	U241	9.690001	4.200000
AOI21_X2	U240	4.750000	9.800000
AOI21_X2	U239	8.550000	9.800000
NAND2_X2	U238	5.510000	9.800000
INV_X4	U237	15.770000	4.200000
NOR2_X2	U236	10.639999	5.600000
INV_X4	U235	12.109948	0.000000
NOR2_X2	U234	8.740001	15.400000
NOR2_X1	U233	13.870000	8.400000
NAND2_X2	U232	6.460000	12.600000
OAI22_X2	U231	5.510000	5.600000
NAND2_X2	U230	13.869999	7.000000
INV_X4	U229	15.959998	7.000000
NAND2_X2	U228	12.920000	15.400000
AOI22_X2	U227	7.600000	9.800000
NAND2_X4	U226	8.740001	4.200000
NOR2_X2	U225	2.470000	15.400000
INV_X4	U224	15.960000	2.800000
AOI22_X4	U223	3.800000	12.600000
INV_X16	U222	8.550000	12.600000
MUX2_X1	U221	6.460001	4.200000
MUX2_X1	U220	15.009999	5.600000
NAND2_X1	U219	15.580000	1.400000
NAND2_X1	U218	1.900000	15.400000
NAND2_X1	U217	8.930000	1.400000
INV_X32	U216	5.890000	1.400000
INV_X16	U215	14.820000	4.200000
NAND2_X4	U214	9.690000	5.600000
AOI21_X4	U213	12.159999	5.600000
INV_X8	U212	14.820000	15.400000
NOR4_X4	U211	13.870000	1.400000
NAND3_X4	U210	7.980000	11.200000
NAND2_X4	U209	1.520000	14.000000
NOR2_X4	U208	12.920000	8.400000
NOR2_X4	U207	9.500000	12.600000
INV_X16	U206	15.389999	15.400000
NOR2_X4	U205	0.000000	15.400000
NAND2_X2	U204	0.380000	11.200000
